# Massacre missions in the maintainer's own store, 2026-09-09..19 (read-only), for the hand-in / completion fixes
# (tester feedback id 5, 0.3.4: "EDDA keeps saying Yamazaki Port"). Per mission: the DestinationSystem/Station the
# MissionAccepted carried, the station the commander was DOCKED AT when accepting, the game's MissionRedirected
# NewDestinationSystem/Station, and every station docked at during the mission's life. Script: knobs/mission_handins.py.
# VERDICT: 74 massacres; 64 redirected, and in 64 of 64 NewDestinationStation == the station docked at on acceptance
# (0 disagreements; 10 never redirected). DestinationStation at acceptance is a station IN THE TARGET SYSTEM (Hooke
# Landing / Yamazaki Base, both in Anana per /v1/stations) that he never docked at during any mission (0 of 74) --
# it is where to kill, not where to hand in. So the hand-in is the giver station (docked-at-acceptance) until
# MissionRedirected, and the current display named a never-visited station for every one of these missions.
# App log 2026-09-16..19: 40 per-event "Objective complete" callouts (callouts.rs) vs 49 pass-level "Mission complete:
# N kills" (watcher::mission_redirected); 18 seconds carried BOTH (the duplicate), and 4 seconds carried 2-3
# "Objective complete" lines at once (one per redirected mission).
mission_id,accepted,giver,target,dest_system_at_accept,dest_station_at_accept,dest_station_system_if_known,docked_system_at_accept,docked_station_at_accept,redirect_ts,new_system,new_station,redirect_station_eq_docked_at_accept,dest_station_in_target_system,end_event,docked_during
1065942355,2026-09-13T19:48:23Z,Labour Union of Ahayan,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Piaget Orbital,2026-09-13T21:31:04Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942829,2026-09-13T19:52:37Z,New HIP 90112 for Equality,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Townshend Settlement,2026-09-13T23:52:06Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942863,2026-09-13T19:53:00Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Townshend Settlement,2026-09-14T01:06:05Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942878,2026-09-13T19:53:08Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Townshend Settlement,2026-09-14T01:44:48Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942892,2026-09-13T19:53:15Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Townshend Settlement,2026-09-14T02:39:20Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942908,2026-09-13T19:53:30Z,New HIP 90112 for Equality,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Townshend Settlement,2026-09-14T00:26:33Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065942924,2026-09-13T19:53:41Z,Labour Union of Ahayan,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Townshend Settlement,2026-09-13T22:23:10Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065996875,2026-09-14T12:29:40Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Kubasov Station,2026-09-14T14:42:55Z,HIP 90112,Kubasov Station,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065996884,2026-09-14T12:29:46Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Kubasov Station,2026-09-14T16:28:52Z,HIP 90112,Kubasov Station,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065996890,2026-09-14T12:29:54Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Kubasov Station,2026-09-14T18:06:43Z,HIP 90112,Kubasov Station,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065996896,2026-09-14T12:29:59Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Kubasov Station,2026-09-14T19:33:34Z,HIP 90112,Kubasov Station,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065997174,2026-09-14T12:34:53Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Townshend Settlement,2026-09-15T03:23:38Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065997178,2026-09-14T12:34:58Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Townshend Settlement,2026-09-15T04:13:17Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065997190,2026-09-14T12:35:10Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Townshend Settlement,2026-09-15T06:25:54Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1065997425,2026-09-14T12:39:29Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Piaget Orbital,,,,,,MissionAbandoned,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | W8W-99B (Anana)
1065997427,2026-09-14T12:39:32Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Piaget Orbital,,,,,,MissionAbandoned,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | W8W-99B (Anana)
1065997435,2026-09-14T12:39:36Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Piaget Orbital,,,,,,MissionAbandoned,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | W8W-99B (Anana)
1065997442,2026-09-14T12:39:46Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Piaget Orbital,,,,,,MissionAbandoned,Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | W8W-99B (Anana)
1066077652,2026-09-15T12:18:01Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Kubasov Station,2026-09-16T15:43:58Z,HIP 90112,Kubasov Station,True,,MissionCompleted,Feustel Ring (Ahayan) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066077665,2026-09-15T12:18:31Z,Labour Union of Ahayan,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Kubasov Station,,,,,,MissionAbandoned,
1066132317,2026-09-16T03:17:41Z,HIP 96854 Empire League,Anana Brotherhood,Anana,Yamazaki Base,,Ahayan,Goeppert-Mayer Vision,2026-09-16T14:58:56Z,Ahayan,Goeppert-Mayer Vision,True,,MissionCompleted,Feustel Ring (Ahayan) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066132330,2026-09-16T03:18:04Z,Labour Union of Ahayan,Anana Brotherhood,Anana,Hooke Landing,,Ahayan,Goeppert-Mayer Vision,2026-09-16T14:24:05Z,Ahayan,Goeppert-Mayer Vision,True,,MissionCompleted,Feustel Ring (Ahayan) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066132341,2026-09-16T03:18:15Z,Ahayan Gold Creative Co,Anana Brotherhood,Anana,Hooke Landing,,Ahayan,Goeppert-Mayer Vision,2026-09-16T06:51:54Z,Ahayan,Goeppert-Mayer Vision,True,,MissionCompleted,Feustel Ring (Ahayan) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066132348,2026-09-16T03:18:34Z,Ahayan Defence Party,Anana Brotherhood,Anana,Yamazaki Base,,Ahayan,Goeppert-Mayer Vision,2026-09-16T06:41:27Z,Ahayan,Goeppert-Mayer Vision,True,,MissionCompleted,Feustel Ring (Ahayan) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066132366,2026-09-16T03:18:55Z,Liberals of Ahayan,Anana Brotherhood,Anana,Yamazaki Base,,Ahayan,Goeppert-Mayer Vision,2026-09-16T06:20:38Z,Ahayan,Goeppert-Mayer Vision,True,,MissionCompleted,Feustel Ring (Ahayan) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066136753,2026-09-16T05:18:19Z,United Tagii League,Anana Brotherhood,Anana,Hooke Landing,,Puneith,Wheelock Port,2026-09-16T14:27:26Z,Puneith,Wheelock Port,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066136777,2026-09-16T05:18:57Z,Crimson Armada,Anana Brotherhood,Anana,Hooke Landing,,Puneith,Wheelock Port,2026-09-16T14:27:26Z,Puneith,Wheelock Port,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066136793,2026-09-16T05:19:23Z,HR 7169 Union Party,Anana Brotherhood,Anana,Hooke Landing,,Puneith,Wheelock Port,2026-09-16T15:04:30Z,Puneith,Wheelock Port,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066136797,2026-09-16T05:19:38Z,Puneith Values Party,Anana Brotherhood,Anana,Hooke Landing,,Puneith,Wheelock Port,2026-09-16T14:27:26Z,Puneith,Wheelock Port,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066167981,2026-09-16T15:56:34Z,HIP 90112 Jet Central Corp.,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Piaget Orbital,2026-09-16T18:02:10Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066167987,2026-09-16T15:56:42Z,Pilots Trade Network,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Piaget Orbital,2026-09-16T18:40:14Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066168007,2026-09-16T15:57:08Z,Natural HIP 90112 Party,Anana Brotherhood,Anana,Yamazaki Base,,HIP 90112,Piaget Orbital,2026-09-16T18:40:14Z,HIP 90112,Piaget Orbital,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Piaget Orbital (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066168268,2026-09-16T16:01:36Z,Labour Union of Ahayan,Anana Brotherhood,Anana,Hooke Landing,,HIP 90112,Townshend Settlement,2026-09-16T17:28:17Z,HIP 90112,Townshend Settlement,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066168637,2026-09-16T16:07:15Z,Workers of Dimocorna Union,Anana Brotherhood,Anana,Hooke Landing,,Puneith,Wheelock Port,2026-09-16T17:16:24Z,Puneith,Wheelock Port,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066168655,2026-09-16T16:07:26Z,Crimson Armada,Anana Brotherhood,Anana,Hooke Landing,,Puneith,Wheelock Port,2026-09-16T18:14:19Z,Puneith,Wheelock Port,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066168667,2026-09-16T16:07:35Z,HR 7169 Union Party,Anana Brotherhood,Anana,Yamazaki Base,,Puneith,Wheelock Port,2026-09-16T17:33:03Z,Puneith,Wheelock Port,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066168696,2026-09-16T16:07:52Z,United Tagii League,Anana Brotherhood,Anana,Yamazaki Base,,Puneith,Wheelock Port,2026-09-16T17:48:16Z,Puneith,Wheelock Port,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066169021,2026-09-16T16:12:29Z,HIP 96854 Empire League,Anana Brotherhood,Anana,Hooke Landing,,Ahayan,Goeppert-Mayer Vision,2026-09-16T16:38:53Z,Ahayan,Goeppert-Mayer Vision,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1066169080,2026-09-16T16:13:29Z,Ahayan Defence Party,Anana Brotherhood,Anana,Hooke Landing,,Ahayan,Goeppert-Mayer Vision,2026-09-16T17:33:04Z,Ahayan,Goeppert-Mayer Vision,True,,MissionCompleted,Goeppert-Mayer Vision (Ahayan) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana)
1066215034,2026-09-17T05:17:24Z,Puneith Organisation,Anana Brotherhood,Anana,Yamazaki Base,,Puneith,Wheelock Port,2026-09-18T04:19:54Z,Puneith,Wheelock Port,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Papin Works (Puneith) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066215041,2026-09-17T05:17:36Z,Workers of Dimocorna Union,Anana Brotherhood,Anana,Hooke Landing,,Puneith,Wheelock Port,2026-09-18T03:53:04Z,Puneith,Wheelock Port,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Papin Works (Puneith) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066215053,2026-09-17T05:17:47Z,Crimson Armada,Anana Brotherhood,Anana,Hooke Landing,,Puneith,Wheelock Port,2026-09-18T04:24:46Z,Puneith,Wheelock Port,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Papin Works (Puneith) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066215154,2026-09-17T05:19:42Z,United Tagii League,Anana Brotherhood,Anana,Yamazaki Base,,Puneith,Wheelock Port,2026-09-18T04:45:28Z,Puneith,Wheelock Port,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Papin Works (Puneith) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066215171,2026-09-17T05:19:55Z,Puneith Values Party,Anana Brotherhood,Anana,Yamazaki Base,,Puneith,Wheelock Port,2026-09-18T03:35:45Z,Puneith,Wheelock Port,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Papin Works (Puneith) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066225011,2026-09-17T12:36:12Z,HIP 96854 Empire League,Anana Brotherhood,Anana,Yamazaki Base,,Ahayan,Goeppert-Mayer Vision,2026-09-18T05:26:33Z,Ahayan,Goeppert-Mayer Vision,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066225027,2026-09-17T12:36:26Z,Labour Union of Ahayan,Anana Brotherhood,Anana,Hooke Landing,,Ahayan,Goeppert-Mayer Vision,2026-09-18T03:57:13Z,Ahayan,Goeppert-Mayer Vision,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066225043,2026-09-17T12:36:39Z,Ahayan Gold Creative Co,Anana Brotherhood,Anana,Yamazaki Base,,Ahayan,Goeppert-Mayer Vision,2026-09-18T05:26:33Z,Ahayan,Goeppert-Mayer Vision,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066225072,2026-09-17T12:37:14Z,Liberals of Ahayan,Anana Brotherhood,Anana,Hooke Landing,,Ahayan,Goeppert-Mayer Vision,2026-09-18T04:12:03Z,Ahayan,Goeppert-Mayer Vision,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066225089,2026-09-17T12:37:31Z,Ahayan Defence Party,Anana Brotherhood,Anana,Yamazaki Base,,Ahayan,Goeppert-Mayer Vision,2026-09-18T03:32:10Z,Ahayan,Goeppert-Mayer Vision,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Stjepan Seljan Hub (Laksak) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066310374,2026-09-18T13:55:39Z,Puneith Organisation,Anana Brotherhood,Anana,Yamazaki Base,,Puneith,Wheelock Port,2026-09-18T17:29:29Z,Puneith,Wheelock Port,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066310407,2026-09-18T13:55:59Z,HR 7169 Union Party,Anana Brotherhood,Anana,Yamazaki Base,,Puneith,Wheelock Port,2026-09-18T17:29:10Z,Puneith,Wheelock Port,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
1066310416,2026-09-18T13:56:07Z,Puneith Values Party,Anana Brotherhood,Anana,Hooke Landing,,Puneith,Wheelock Port,2026-09-18T17:52:02Z,Puneith,Wheelock Port,True,,,Fleming Enterprise (HIP 100449) | Goeppert-Mayer Vision (Ahayan) | Kubasov Station (HIP 90112) | Q6Z-66L (HIP 90112) | Townshend Settlement (HIP 90112) | W8W-99B (Anana) | Wheelock Port (Puneith)
