# Dashboard no-data audit, 2026-09-20: every panel target in deploy/monitoring/dashboards/*.json (95 targets, 4 dashboards) classified from the repo. Static only: the live half (Grafana /api/ds/query through the ssh tunnel) needs the admin credential in /etc/edda/grafana-admin on the box, which this session could not read (anonymous 401, factory admin/admin rejected, no local copy); GRAFANA_USER/GRAFANA_PASSWORD to the knob runs it.
# VERDICT: 28 of 95 targets could not have data on the box as deployed - 18 Host Health (node_*) and 6 Server Postgres-row (pg_*) targets had NO SCRAPE TARGET (no node_exporter, no postgres_exporter installed or scraped: vm-scrape.yml scraped only ed-api :8787 and ed-eddn :8788); 4 Clients targets (panels 19-22) filter on label values no client code emits (callsite edda::coverage_gap::*, feature flags data_source_remote / api_fallback_always - pre-registered panels, emitter not landed, kept and annotated). The other 67 reference series the tree emits with the labels the panels use; if any of them shows No data it is quiet-not-broken (class b) and only the live run can say so. The task's premise that edda_app_downloads_total is emitted by nothing is WRONG: crates/ed-api/src/http.rs:1146 emits it with labels file,via; the two Server panels (6, 7) are left as they are.
# FIX (this PR): setup-monitoring.sh installs prometheus-node-exporter (:9100) and prometheus-postgres-exporter (:9187), both loopback-bound; vm-scrape.yml gains jobs node and postgres; edda-vm.service gains ExecReload so a re-run picks up the scrape config; Host panel 10 no longer hard-codes device=eth0. BOX ACTION: re-run deploy/monitoring/setup-monitoring.sh as root (not just `edda-apply dashboards` - the scrape config and the exporters live outside the dashboards inbox), then re-run the knob with the credential to fill live_24h/live_7d.
# static_before = untouched main (what the box runs today); static_after = this branch. Classes: OK (series emitted + scraped), absent:no-scrape-job (a), absent:no-emitter (a), label:never-emitted(...) (c), sql (Postgres datasource; columns checked against migration 0008).
# knob: docs/benches/knobs/dashboard_audit.py (EDDA_ROOT=<checkout> python3 docs/benches/knobs/dashboard_audit.py); live columns not-run this time, see line 1.
dashboard,panel_id,panel,datasource,expr,series,emitter,scrape_job_after,static_before,static_after,live_24h,live_7d
edda-clients,10,Trade searches /h by version,edda-vm,"sum by (version) (increase(edda_client_timing_ms_count{kind=""trade""}[1h]))",edda_client_timing_ms,edda_client_timing_ms=crates/ed-api/src/http.rs:1267,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,11,Trade search failure rate,edda-vm,"sum(increase(edda_client_timing_ms_count{kind=""trade"",ok=""false""}[1h])) / clamp_min(sum(increase(edda_client_timing_ms_count{kind=""trade""}[1h])), 1)",edda_client_timing_ms,edda_client_timing_ms=crates/ed-api/src/http.rs:1267,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,12,Trade failures /h,edda-vm,"sum(increase(edda_client_timing_ms_count{kind=""trade"",ok=""false""}[1h]))",edda_client_timing_ms,edda_client_timing_ms=crates/ed-api/src/http.rs:1267,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,14,Trade freshness · average window (h),edda-vm,"sum(increase(edda_client_search_age_hours_sum[24h])) / clamp_min(sum(increase(edda_client_search_age_hours_count[24h])), 1)",edda_client_search_age_hours,edda_client_search_age_hours=crates/ed-api/src/telemetry.rs (search_metric),edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,15,Trade freshness · p50 / p90 (h),edda-vm,"histogram_quantile(0.50, sum by (le) (rate(edda_client_search_age_hours_bucket[24h])))",edda_client_search_age_hours,edda_client_search_age_hours=crates/ed-api/src/telemetry.rs (search_metric),edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,15,Trade freshness · p50 / p90 (h),edda-vm,"histogram_quantile(0.90, sum by (le) (rate(edda_client_search_age_hours_bucket[24h])))",edda_client_search_age_hours,edda_client_search_age_hours=crates/ed-api/src/telemetry.rs (search_metric),edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,16,Router gate · average (ly),edda-vm,"sum(increase(edda_client_router_gate_ly_sum[24h])) / clamp_min(sum(increase(edda_client_router_gate_ly_count[24h])), 1)",edda_client_router_gate_ly,edda_client_router_gate_ly=crates/ed-api/src/telemetry.rs (search_metric),edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,17,"""EDDA always plans"" share (gate = 0)",edda-vm,"sum(increase(edda_client_router_gate_ly_bucket{le=""0""}[24h])) / clamp_min(sum(increase(edda_client_router_gate_ly_count[24h])), 1)",edda_client_router_gate_ly,edda_client_router_gate_ly=crates/ed-api/src/telemetry.rs (search_metric),edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-clients,19,Coverage gaps /h by path,edda-vm,"sum by (path) (label_replace(increase(edda_client_events_total{callsite=~""edda::coverage_gap::.*""}[1h]), ""path"", ""$1"", ""callsite"", ""edda::coverage_gap::([a-z_]+)::.*""))",edda_client_events_total,edda_client_events_total=crates/ed-api/src/http.rs:1258,edda-api,label:never-emitted(callsite=edda::coverage_gap::.*),label:never-emitted(callsite=edda::coverage_gap::.*),not-run(no credential),not-run(no credential)
edda-clients,20,Coverage gaps /h by kind,edda-vm,"sum by (kind) (label_replace(increase(edda_client_events_total{callsite=~""edda::coverage_gap::.*""}[1h]), ""kind"", ""$1"", ""callsite"", ""edda::coverage_gap::[a-z_]+::([a-z_]+)""))",edda_client_events_total,edda_client_events_total=crates/ed-api/src/http.rs:1258,edda-api,label:never-emitted(callsite=edda::coverage_gap::.*),label:never-emitted(callsite=edda::coverage_gap::.*),not-run(no credential),not-run(no credential)
edda-clients,21,Local-data share of clients (24h),edda-vm,"1 - sum(increase(edda_client_feature_total{name=""data_source_remote"",enabled=""true""}[24h])) / clamp_min(sum(increase(edda_telemetry_batches_total{outcome=""accepted""}[24h])), 1)",edda_client_feature_total;edda_telemetry_batches_total,edda_client_feature_total=crates/ed-api/src/http.rs:1276;edda_telemetry_batches_total=crates/ed-api/src/http.rs:1251,edda-api,label:never-emitted(name=data_source_remote),label:never-emitted(name=data_source_remote),not-run(no credential),not-run(no credential)
edda-clients,22,"""Always check API"" share (24h)",edda-vm,"sum(increase(edda_client_feature_total{name=""api_fallback_always"",enabled=""true""}[24h])) / clamp_min(sum(increase(edda_telemetry_batches_total{outcome=""accepted""}[24h])), 1)",edda_client_feature_total;edda_telemetry_batches_total,edda_client_feature_total=crates/ed-api/src/http.rs:1276;edda_telemetry_batches_total=crates/ed-api/src/http.rs:1251,edda-api,label:never-emitted(name=api_fallback_always),label:never-emitted(name=api_fallback_always),not-run(no credential),not-run(no credential)
edda-feedback,1,Reports (newest first),edda-pg,"SELECT id, received_at, version, os, left(body, 400) AS report, (log_tail IS NOT NULL) AS has_log FROM feedback ORDER BY id DESC LIMIT 200",feedback,crates/ed-api/migrations/0008_feedback.sql,edda-pg,sql,sql,not-run(sql),not-run(sql)
edda-feedback,2,Full report (set id in the panel query),edda-pg,"SELECT body, log_tail FROM feedback ORDER BY id DESC LIMIT 1",feedback,crates/ed-api/migrations/0008_feedback.sql,edda-pg,sql,sql,not-run(sql),not-run(sql)
edda-host,1,CPU utilization,edda-vm,"100 * (1 - avg(rate(node_cpu_seconds_total{mode=""idle""}[5m])))",node_cpu_seconds_total,node_cpu_seconds_total=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,2,Load (1m),edda-vm,node_load1,node_load1,node_load1=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,3,Memory used,edda-vm,100 * (1 - node_memory_MemAvailable_bytes / node_memory_MemTotal_bytes),node_memory_MemAvailable_bytes;node_memory_MemTotal_bytes,node_memory_MemAvailable_bytes=exporter(node);node_memory_MemTotal_bytes=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,4,Disk used (/),edda-vm,"100 * (1 - node_filesystem_avail_bytes{mountpoint=""/""} / node_filesystem_size_bytes{mountpoint=""/""})",node_filesystem_avail_bytes;node_filesystem_size_bytes,node_filesystem_avail_bytes=exporter(node);node_filesystem_size_bytes=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,5,Uptime,edda-vm,time() - node_boot_time_seconds,node_boot_time_seconds,node_boot_time_seconds=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,6,CPU utilization %,edda-vm,"100 * (1 - avg(rate(node_cpu_seconds_total{mode=""idle""}[5m])))",node_cpu_seconds_total,node_cpu_seconds_total=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,7,Load average,edda-vm,node_load1,node_load1,node_load1=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,7,Load average,edda-vm,node_load5,node_load5,node_load5=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,7,Load average,edda-vm,node_load15,node_load15,node_load15=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,8,Memory (used / total),edda-vm,node_memory_MemTotal_bytes - node_memory_MemAvailable_bytes,node_memory_MemAvailable_bytes;node_memory_MemTotal_bytes,node_memory_MemAvailable_bytes=exporter(node);node_memory_MemTotal_bytes=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,8,Memory (used / total),edda-vm,node_memory_MemTotal_bytes,node_memory_MemTotal_bytes,node_memory_MemTotal_bytes=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,9,Disk space / and swap (used / total),edda-vm,"node_filesystem_size_bytes{mountpoint=""/""} - node_filesystem_avail_bytes{mountpoint=""/""}",node_filesystem_avail_bytes;node_filesystem_size_bytes,node_filesystem_avail_bytes=exporter(node);node_filesystem_size_bytes=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,9,Disk space / and swap (used / total),edda-vm,"node_filesystem_size_bytes{mountpoint=""/""}",node_filesystem_size_bytes,node_filesystem_size_bytes=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,9,Disk space / and swap (used / total),edda-vm,node_memory_SwapTotal_bytes - node_memory_SwapFree_bytes,node_memory_SwapFree_bytes;node_memory_SwapTotal_bytes,node_memory_SwapFree_bytes=exporter(node);node_memory_SwapTotal_bytes=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,10,Network I/O (physical interfaces),edda-vm,"sum(rate(node_network_receive_bytes_total{device!~""lo|veth.*|docker.*|br-.*""}[5m]))",node_network_receive_bytes_total,node_network_receive_bytes_total=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,10,Network I/O (physical interfaces),edda-vm,"sum(rate(node_network_transmit_bytes_total{device!~""lo|veth.*|docker.*|br-.*""}[5m]))",node_network_transmit_bytes_total,node_network_transmit_bytes_total=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,11,Disk I/O,edda-vm,sum(rate(node_disk_read_bytes_total[5m])),node_disk_read_bytes_total,node_disk_read_bytes_total=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-host,11,Disk I/O,edda-vm,sum(rate(node_disk_written_bytes_total[5m])),node_disk_written_bytes_total,node_disk_written_bytes_total=exporter(node),node,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-server,1,EDDN rows applied /s,edda-vm,rate(edda_eddn_rows_total[5m]),edda_eddn_rows_total,edda_eddn_rows_total=crates/ed-store/src/postgres.rs:247,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,2,Artifact + app bytes served /s,edda-vm,rate(edda_artifact_bytes_total[5m]),edda_artifact_bytes_total,edda_artifact_bytes_total=crates/ed-api/src/http.rs:1071,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,2,Artifact + app bytes served /s,edda-vm,rate(edda_app_release_bytes_total[5m]),edda_app_release_bytes_total,edda_app_release_bytes_total=crates/ed-api/src/http.rs:1136,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,3,Feedback by outcome,edda-vm,increase(edda_feedback_total[1h]),edda_feedback_total,edda_feedback_total=crates/ed-api/src/http.rs:1201,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,4,HTTP requests by route /s,edda-vm,sum by (route) (rate(edda_http_requests_total[5m])),edda_http_requests_total,edda_http_requests_total=crates/ed-api/src/metrics.rs:226,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,6,App downloads by file (24h),edda-vm,sum by (file) (increase(edda_app_downloads_total[24h])),edda_app_downloads_total,edda_app_downloads_total=crates/ed-api/src/http.rs:1146,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,7,"Downloads (total, all versions)",edda-vm,sum(edda_app_downloads_total),edda_app_downloads_total,edda_app_downloads_total=crates/ed-api/src/http.rs:1146,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,8,Update checks /h,edda-vm,sum(increase(edda_update_checks_total[1h])),edda_update_checks_total,edda_update_checks_total=crates/ed-api/src/http.rs:1142,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,10,Time since last successful build,edda-vm,"time() - max(edda_publish_last_complete_unix_seconds{product=""market_daily""})",edda_publish_last_complete_unix_seconds,edda_publish_last_complete_unix_seconds=crates/ed-api/src/metrics.rs:180,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,11,Build cost — wall vs CPU (s),edda-vm,"max(edda_publish_build_seconds{product=""market_daily""})",edda_publish_build_seconds,edda_publish_build_seconds=crates/ed-api/src/metrics.rs:179,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,11,Build cost — wall vs CPU (s),edda-vm,"max(edda_publish_cpu_seconds{product=""market_daily""})",edda_publish_cpu_seconds,edda_publish_cpu_seconds=crates/ed-api/src/metrics.rs:183,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,12,Build phases (s),edda-vm,"max by (phase) (edda_publish_phase_seconds{product=""market_daily""})",edda_publish_phase_seconds,edda_publish_phase_seconds=crates/ed-api/src/metrics.rs:200,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,13,Rows published (nightly),edda-vm,"max(edda_publish_rows{product=""market_daily""})",edda_publish_rows,edda_publish_rows=crates/ed-api/src/metrics.rs:189,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,14,Bytes published,edda-vm,"max(edda_publish_bytes{product=""market_daily""})",edda_publish_bytes,edda_publish_bytes=crates/ed-api/src/metrics.rs:186,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,16,Requests /s by outcome,edda-vm,sum by (outcome) (rate(edda_market_search_requests_total[5m])),edda_market_search_requests_total,edda_market_search_requests_total=crates/ed-api/src/http.rs:392,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,17,Latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.50, sum by (le) (rate(edda_market_search_seconds_bucket[5m])))",edda_market_search_seconds,edda_market_search_seconds=crates/ed-api/src/http.rs:401,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,17,Latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.95, sum by (le) (rate(edda_market_search_seconds_bucket[5m])))",edda_market_search_seconds,edda_market_search_seconds=crates/ed-api/src/http.rs:401,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,17,Latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.99, sum by (le) (rate(edda_market_search_seconds_bucket[5m])))",edda_market_search_seconds,edda_market_search_seconds=crates/ed-api/src/http.rs:401,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,19,Database size (edda),edda-vm,"pg_database_size_bytes{datname=""edda""}",pg_database_size_bytes,pg_database_size_bytes=exporter(pg),postgres,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-server,20,Connections (used vs max),edda-vm,"pg_stat_database_numbackends{datname=""edda""}",pg_stat_database_numbackends,pg_stat_database_numbackends=exporter(pg),postgres,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-server,20,Connections (used vs max),edda-vm,pg_settings_max_connections,pg_settings_max_connections,pg_settings_max_connections=exporter(pg),postgres,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-server,21,Transactions /s (commit / rollback),edda-vm,"rate(pg_stat_database_xact_commit{datname=""edda""}[5m])",pg_stat_database_xact_commit,pg_stat_database_xact_commit=exporter(pg),postgres,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-server,21,Transactions /s (commit / rollback),edda-vm,"rate(pg_stat_database_xact_rollback{datname=""edda""}[5m])",pg_stat_database_xact_rollback,pg_stat_database_xact_rollback=exporter(pg),postgres,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-server,22,Cache hit ratio (lifetime),edda-vm,"pg_stat_database_blks_hit{datname=""edda""} / clamp_min(pg_stat_database_blks_hit{datname=""edda""} + pg_stat_database_blks_read{datname=""edda""}, 1)",pg_stat_database_blks_hit;pg_stat_database_blks_read,pg_stat_database_blks_hit=exporter(pg);pg_stat_database_blks_read=exporter(pg),postgres,absent:no-scrape-job,OK,not-run(no credential),not-run(no credential)
edda-server,24,Route requests /s by outcome,edda-vm,sum by (outcome) (rate(edda_route_requests_total[5m])),edda_route_requests_total,edda_route_requests_total=crates/ed-api/src/http.rs:569,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,25,Route latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.50, sum by (le) (rate(edda_route_wall_seconds_bucket[5m])))",edda_route_wall_seconds,edda_route_wall_seconds=crates/ed-api/src/http.rs:624,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,25,Route latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.95, sum by (le) (rate(edda_route_wall_seconds_bucket[5m])))",edda_route_wall_seconds,edda_route_wall_seconds=crates/ed-api/src/http.rs:624,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,25,Route latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.99, sum by (le) (rate(edda_route_wall_seconds_bucket[5m])))",edda_route_wall_seconds,edda_route_wall_seconds=crates/ed-api/src/http.rs:624,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,26,Route cache /s by result,edda-vm,sum by (result) (rate(edda_route_cache_total[5m])),edda_route_cache_total,edda_route_cache_total=crates/ed-api/src/http.rs:625,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,28,Station board requests /s by outcome,edda-vm,sum by (outcome) (rate(edda_station_board_requests_total[5m])),edda_station_board_requests_total,edda_station_board_requests_total=crates/ed-api/src/http.rs:352,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,29,Station board latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.50, sum by (le) (rate(edda_station_board_seconds_bucket[5m])))",edda_station_board_seconds,edda_station_board_seconds=crates/ed-api/src/http.rs:361,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,29,Station board latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.95, sum by (le) (rate(edda_station_board_seconds_bucket[5m])))",edda_station_board_seconds,edda_station_board_seconds=crates/ed-api/src/http.rs:361,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,29,Station board latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.99, sum by (le) (rate(edda_station_board_seconds_bucket[5m])))",edda_station_board_seconds,edda_station_board_seconds=crates/ed-api/src/http.rs:361,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,31,Trade search requests /s by outcome,edda-vm,sum by (outcome) (rate(edda_trade_search_requests_total[5m])),edda_trade_search_requests_total,edda_trade_search_requests_total=crates/ed-api/src/http.rs:277,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,32,Trade search latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.50, sum by (le) (rate(edda_trade_search_seconds_bucket[5m])))",edda_trade_search_seconds,edda_trade_search_seconds=crates/ed-api/src/http.rs:312,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,32,Trade search latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.95, sum by (le) (rate(edda_trade_search_seconds_bucket[5m])))",edda_trade_search_seconds,edda_trade_search_seconds=crates/ed-api/src/http.rs:312,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,32,Trade search latency p50 / p95 / p99 (s),edda-vm,"histogram_quantile(0.99, sum by (le) (rate(edda_trade_search_seconds_bucket[5m])))",edda_trade_search_seconds,edda_trade_search_seconds=crates/ed-api/src/http.rs:312,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,33,Result-cache hit ratio (hit / all),edda-vm,"sum(edda_trade_search_cache_total{result=""hit""}) / clamp_min(sum(edda_trade_search_cache_total), 1)",edda_trade_search_cache_total,edda_trade_search_cache_total=crates/ed-api/src/http.rs:316,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,34,Saturated /min (queue overflow),edda-vm,"sum(rate(edda_trade_search_requests_total{outcome=""saturated""}[5m])) * 60",edda_trade_search_requests_total,edda_trade_search_requests_total=crates/ed-api/src/http.rs:277,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,35,Trade search cache /s by result,edda-vm,sum by (result) (rate(edda_trade_search_cache_total[5m])),edda_trade_search_cache_total,edda_trade_search_cache_total=crates/ed-api/src/http.rs:316,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,36,"Searches slower than 10 s (share, 1h)",edda-vm,"1 - sum(increase(edda_trade_search_seconds_bucket{le=""10""}[1h])) / clamp_min(sum(increase(edda_trade_search_seconds_count[1h])), 1)",edda_trade_search_seconds,edda_trade_search_seconds=crates/ed-api/src/http.rs:312,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,37,"Trade search latency buckets /h (10 s, 30 s, 60 s, +Inf)",edda-vm,"sum(increase(edda_trade_search_seconds_bucket{le=""10""}[1h]))",edda_trade_search_seconds,edda_trade_search_seconds=crates/ed-api/src/http.rs:312,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,37,"Trade search latency buckets /h (10 s, 30 s, 60 s, +Inf)",edda-vm,"sum(increase(edda_trade_search_seconds_bucket{le=""30""}[1h])) - sum(increase(edda_trade_search_seconds_bucket{le=""10""}[1h]))",edda_trade_search_seconds,edda_trade_search_seconds=crates/ed-api/src/http.rs:312,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,37,"Trade search latency buckets /h (10 s, 30 s, 60 s, +Inf)",edda-vm,"sum(increase(edda_trade_search_seconds_bucket{le=""60""}[1h])) - sum(increase(edda_trade_search_seconds_bucket{le=""30""}[1h]))",edda_trade_search_seconds,edda_trade_search_seconds=crates/ed-api/src/http.rs:312,edda-api,OK,OK,not-run(no credential),not-run(no credential)
edda-server,37,"Trade search latency buckets /h (10 s, 30 s, 60 s, +Inf)",edda-vm,"sum(increase(edda_trade_search_seconds_bucket{le=""+Inf""}[1h])) - sum(increase(edda_trade_search_seconds_bucket{le=""60""}[1h]))",edda_trade_search_seconds,edda_trade_search_seconds=crates/ed-api/src/http.rs:312,edda-api,OK,OK,not-run(no credential),not-run(no credential)
